Latitude= -9999
Longitude= -9999
X_Coord= 626800
Y_Coord= 092460
Altitude= 3130
Year Month Day Hour ta iswr vw rh ea nswc
2008 10 1 0 -2.3 0 2.9 80.87 292.18 0.5
2008 10 1 1 -2.3 0 2.9 80.87 292.18 0.6
2008 10 1 2 -2.3 0 1.8 88.13 296.07 0.5
2008 10 1 3 -2.2 0 3.1 92.1 295.13 0.3
2008 10 1 4 -2.7 0 2.7 86.07 296.87 0.3
2008 10 1 5 -2.4 0 3.4 84.95 300.38 0.1
2008 10 1 6 -1.7 15 3.6 83.85 291.1 0.1
2008 10 1 7 -1.3 78.43 2.9 83.22 251.23 0
2008 10 1 8 -1.1 240 2.1 77.72 210.88 0
2008 10 1 9 -1.1 533.73 1.9 64.97 207.08 0
2008 10 1 10 0.7 671.13 1.5 56.37 206.1 0
2008 10 1 11 1.8 732.32 1.9 55.58 205.87 0
2008 10 1 12 2.5 750.65 2.3 54.25 206.38 0
2008 10 1 13 3.6 702.93 2 44.23 205.97 0
2008 10 1 14 4 615.72 2.5 47.37 208.52 0
2008 10 1 15 3.8 447.65 3.3 47.4 210.12 0
2008 10 1 16 4.1 275.72 3.6 48.17 213.37 0
2008 10 1 17 3.4 79.68 3 51.03 212.58 0
2008 10 1 18 2.5 0.92 4 58.62 214.35 0
2008 10 1 19 0.6 0 5.4 59.12 214.35 0
2008 10 1 20 0.7 0 3.3 63.83 214.6 0
2008 10 1 21 0.5 0 4 63.38 211.77 0
2008 10 1 22 0.4 0 5.6 62.25 210.3 0
2008 10 1 23 0.1 0 6.3 58.87 209.58 0
2008 10 2 0 -0.4 0 6.5 53.5 209.48 0
2008 10 2 1 0.1 0 7.4 54.93 207.73 0
2008 10 2 2 -0.3 0 6.7 48.73 206.8 0
2008 10 2 3 -0.9 0 8.2 49.63 205.88 0.1
2008 10 2 4 -1.1 0 9.5 50.58 203.8 0
2008 10 2 5 -1 0 10.1 59.78 202.97 0.1
2008 10 2 6 -1.5 10.5 7.6 71.9 201.35 0.2
2008 10 2 7 -2.4 161.18 4.3 63.32 203.45 0.2
2008 10 2 8 -2.6 354.82 4 51.22 205.25 0.1
2008 10 2 9 -1.1 528.72 4.2 51.43 204.18 0.1
2008 10 2 10 -0.6 676.72 3.4 37.05 202.13 0
2008 10 2 11 0.3 736.32 5.7 52.68 204.27 0
2008 10 2 12 0.3 748.33 3.8 46.42 203.95 0
2008 10 2 13 1.4 700.13 4.8 45.13 206.2 0
2008 10 2 14 2.5 631.55 7 48.47 219.88 0
2008 10 2 15 2.6 261.4 7.3 59.13 266.12 0
2008 10 2 16 1.7 162.87 5.3 70.08 261 0
2008 10 2 17 0.3 38.55 3.2 69.35 271.47 0
2008 10 2 18 -1.2 0.67 4 69.95 261 0.3
2008 10 2 19 -2.1 0 5.3 72.92 266.28 0.3
2008 10 2 20 -2.9 0 5.4 75.37 266.27 0
2008 10 2 21 -3.4 0 4.5 73.27 255.65 0.9
2008 10 2 22 -3.5 0 6 70.75 223.98 0
2008 10 2 23 -3.7 0 7 70.98 242.28 0
2008 10 3 0 -4.1 0 5.9 69.85 235.83 0
2008 10 3 1 -4.3 0 8.6 65.95 215.32 0
2008 10 3 2 -4.9 0 7.6 64.65 219.45 0
2008 10 3 3 -5.1 0 6 63.63 203.78 0
2008 10 3 4 -5.6 0 8.2 65.15 227.07 0
2008 10 3 5 -5.8 0 8.7 66.9 249.83 0
2008 10 3 6 -6.2 10.48 7.4 72.67 235.08 0
2008 10 3 7 -6.4 149.33 7 90.12 224.98 0
2008 10 3 8 -7.4 287.63 2.8 91.08 239.12 0
2008 10 3 9 -6.7 342.53 2.1 93.02 279.98 0
2008 10 3 10 -6.3 148.02 1.8 92.3 276 0
2008 10 3 11 -7.9 320.43 5.3 90.35 269.9 0
